linha,coluna,valor,motivo
2,data_emissao_recebimento,,Data inválida — ignorada
3,data_emissao_recebimento,,Data inválida — ignorada
4,data_emissao_recebimento,,Data inválida — ignorada
5,data_emissao_recebimento,,Data inválida — ignorada
6,data_emissao_recebimento,,Data inválida — ignorada
7,data_emissao_recebimento,,Data inválida — ignorada
8,data_emissao_recebimento,,Data inválida — ignorada
9,data_emissao_recebimento,,Data inválida — ignorada
10,data_emissao_recebimento,,Data inválida — ignorada
11,data_emissao_recebimento,,Data inválida — ignorada
12,data_emissao_recebimento,,Data inválida — ignorada
13,data_emissao_recebimento,,Data inválida — ignorada
14,data_emissao_recebimento,,Data inválida — ignorada
15,data_emissao_recebimento,,Data inválida — ignorada
16,data_emissao_recebimento,,Data inválida — ignorada
17,vencimento,C/APRES.,Data inválida — ignorada
17,data_emissao_recebimento,,Data inválida — ignorada
18,vencimento,15DFM,Data inválida — ignorada
18,data_emissao_recebimento,,Data inválida — ignorada
19,data_emissao_recebimento,,Data inválida — ignorada
20,data_emissao_recebimento,,Data inválida — ignorada
21,data_emissao_recebimento,,Data inválida — ignorada
22,data_emissao_recebimento,,Data inválida — ignorada
23,data_emissao_recebimento,,Data inválida — ignorada
24,data_emissao_recebimento,,Data inválida — ignorada
25,data_emissao_recebimento,,Data inválida — ignorada
26,data_emissao_recebimento,,Data inválida — ignorada
27,data_emissao_recebimento,,Data inválida — ignorada
28,data_emissao_recebimento,,Data inválida — ignorada
29,data_emissao_recebimento,,Data inválida — ignorada
30,data_emissao_recebimento,,Data inválida — ignorada
31,data_emissao_recebimento,,Data inválida — ignorada
32,vencimento,Bonificado,Data inválida — ignorada
32,data_emissao_recebimento,,Data inválida — ignorada
33,vencimento,Bonificado,Data inválida — ignorada
33,data_emissao_recebimento,,Data inválida — ignorada
34,vencimento,Bonificado,Data inválida — ignorada
34,data_emissao_recebimento,,Data inválida — ignorada
35,data_final_veiculacao,99/99/9999,Data inválida — ignorada
35,data_emissao_recebimento,,Data inválida — ignorada
35,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
36,data_final_veiculacao,99/99/9999,Data inválida — ignorada
36,data_emissao_recebimento,,Data inválida — ignorada
36,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
37,data_final_veiculacao,99/99/9999,Data inválida — ignorada
37,data_emissao_recebimento,,Data inválida — ignorada
37,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
38,vencimento,C/APRES.,Data inválida — ignorada
38,data_emissao_recebimento,,Data inválida — ignorada
39,data_emissao_recebimento,,Data inválida — ignorada
40,vencimento,C/APRES.,Data inválida — ignorada
40,data_emissao_recebimento,,Data inválida — ignorada
41,data_emissao_recebimento,,Data inválida — ignorada
42,data_emissao_recebimento,,Data inválida — ignorada
43,data_final_veiculacao,99/99/9999,Data inválida — ignorada
43,data_emissao_recebimento,,Data inválida — ignorada
43,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
44,data_emissao_recebimento,,Data inválida — ignorada
45,data_emissao_recebimento,,Data inválida — ignorada
46,data_final_veiculacao,99/99/9999,Data inválida — ignorada
46,data_emissao_recebimento,,Data inválida — ignorada
46,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
47,data_final_veiculacao,99/99/9999,Data inválida — ignorada
47,data_emissao_recebimento,,Data inválida — ignorada
47,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
48,data_emissao_recebimento,,Data inválida — ignorada
49,data_final_veiculacao,99/99/9999,Data inválida — ignorada
49,data_emissao_recebimento,,Data inválida — ignorada
49,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
50,data_emissao_recebimento,,Data inválida — ignorada
51,data_final_veiculacao,99/99/9999,Data inválida — ignorada
51,data_emissao_recebimento,,Data inválida — ignorada
51,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
52,vencimento,C/APRES.,Data inválida — ignorada
52,data_emissao_recebimento,,Data inválida — ignorada
53,data_emissao_recebimento,,Data inválida — ignorada
54,data_emissao_recebimento,,Data inválida — ignorada
55,data_emissao_recebimento,,Data inválida — ignorada
56,data_emissao_recebimento,,Data inválida — ignorada
57,data_emissao_recebimento,,Data inválida — ignorada
58,data_emissao_recebimento,,Data inválida — ignorada
59,data_emissao_recebimento,,Data inválida — ignorada
60,data_emissao_recebimento,,Data inválida — ignorada
61,vencimento,45DFM,Data inválida — ignorada
